id,name,rarity,cardtype,battleExp,price,hasbossimage,basehp,baseatk,basedef,basewis,baseagi,maxhp,maxatk,maxdef,maxwis,maxagi,maxlevel,growtype,skillid1,skillid2,evolution,maxevloution,cantrade,materialexp,peHP,peATK,peDEF,peWIS,peAGI,display
402,"Maccus, Ward of the East",4,1,210,16100,0,3120,3420,3290,2880,3390,7280,7980,7670,6720,7910,99,1,139,0,1,1,1,1000,7780,8480,8170,7220,8410,0
403,"Godfinger, Fist of the East",4,1,210,16080,0,3410,3240,3600,2880,2950,7970,7560,8400,6720,6890,99,1,125,0,1,1,1,1000,8470,8060,8900,7220,7390,0
404,Castor,2,1,92,2350,1,900,1100,750,1100,850,2260,2760,1880,2750,2130,40,2,43,0,1,4,0,45,2760,3260,2380,3250,2630,0
405,Castor,3,1,137,5890,0,1640,1900,1290,1980,1610,3640,4220,2860,4400,3580,70,2,43,0,3,4,1,90,4765,5460,3898,5638,4675,0
406, Guardian,2,1,92,2370,1,880,1120,730,1050,950,2190,2810,1830,2630,2370,40,2,43,0,1,4,0,45,2690,3310,2330,3130,2870,0
407, High Guardian,3,1,137,5890,0,1580,1950,1340,1950,1600,3500,4330,2990,4340,3550,70,2,43,0,3,4,1,90,4609,5581,4016,5550,4700,0
408,Magma Giant,3,1,142,7990,1,2380,2290,2430,2110,2200,5350,5150,5460,4750,4950,70,1,123,0,1,4,1,90,5850,5650,5960,5250,5450,0
409,Chaotic Magma Giant,4,1,212,17100,1,3560,3430,3640,3170,3300,8320,8010,8500,7390,7700,99,1,123,0,3,4,1,1000,10156,9800,10361,9088,9444,0
410, Elf Magus,2,1,92,2370,0,950,1080,720,1080,900,2360,2700,1800,2700,2240,40,2,71,0,1,4,0,45,2860,3200,2300,3200,2740,0
411, Elf Frostweaver,3,1,138,5940,0,1700,1940,1300,1940,1610,3780,4310,2880,4320,3580,70,2,71,0,3,4,1,90,4928,5536,3899,5546,4700,0
412,亚妮,3,1,138,6220,0,1710,2030,1940,1620,1580,3850,4570,4370,3650,3560,70,1,45,0,1,4,1,90,4350,5070,4870,4150,4060,1
413,凶残女巨人 亚妮,4,1,206,13350,0,2570,3050,2920,2430,2380,5990,7110,6800,5670,5540,99,1,45,0,3,4,1,1000,7481,8766,8410,7115,6964,1
414,Steamwork Dragon,5,1,215,20380,0,5040,3740,3670,4270,3660,13860,10300,10100,11740,10060,99,1,11,0,1,1,1,1500,14360,10800,10600,12240,10560,0
415,Mud Golem,1,1,34,470,0,450,470,520,430,470,1820,1860,2100,1710,1860,30,2,62,0,1,4,0,9,2320,2360,2600,2210,2360,0
416,Clay Golem,2,1,92,2340,0,910,930,1050,850,930,2270,2330,2620,2130,2330,40,2,62,0,3,4,0,45,3293,3363,3708,3128,3363,0
417,赫菲斯托斯,3,1,140,6810,0,1640,2190,1800,2300,1800,3640,4870,4000,5110,4000,70,2,117,0,1,4,1,90,4140,5370,4500,5610,4500,1
418,火神 赫菲斯托斯,4,1,209,15140,0,2550,3410,2800,3580,2800,5910,7910,6500,8300,6500,99,2,117,0,3,4,1,1000,7352,9635,8025,10080,8025,1
419,西尔芙,3,1,140,6800,0,2110,1780,2140,1900,1780,4680,3960,4750,4210,3960,70,2,19,0,1,4,1,90,5180,4460,5250,4710,4460,1
420,元素精灵 西尔芙,4,1,209,15100,0,3280,2770,3330,2950,2770,7610,6440,7720,6840,6440,99,2,19,0,3,4,1,1000,9292,7956,9418,8413,7956,1
421,Camael,3,1,142,7990,0,2040,2640,2170,2210,2350,4590,5940,4880,4970,5300,70,1,122,0,1,4,1,90,5090,6440,5380,5470,5800,0
422,Camael,4,1,212,17120,0,3060,3960,3250,3320,3530,7140,9240,7590,7740,8240,99,1,122,0,3,4,1,1000,8801,11211,9318,9488,10064,0
423,Doppeladler,5,1,214,19370,0,3740,3960,3880,3790,4000,10300,10890,10670,10420,11000,99,1,33,0,1,2,1,1500,10800,11390,11170,10920,11500,0
424,Agrias,3,1,139,6710,1,1830,2160,1740,1840,2020,4130,4850,3910,4130,4550,70,1,46,0,1,4,1,90,4630,5350,4410,4630,5050,0
425,Agrias,4,1,208,14370,0,2750,3230,2610,2750,3030,6420,7540,6080,6430,7080,99,1,46,0,3,4,1,1000,7975,9261,7584,7985,8732,0
426,Leon,3,1,142,7980,0,2120,2310,2190,2450,2330,4770,5200,4930,5520,5250,70,1,97,0,1,4,1,90,5270,5700,5430,6020,5750,0
427,Leon,4,1,212,17110,0,3180,3460,3290,3680,3500,7420,8080,7670,8580,8170,99,1,97,0,3,4,1,1000,9122,9881,9409,10454,9983,0
428,Scylla,5,1,214,19240,0,3720,4120,3160,4500,3740,10240,11340,8700,12380,10270,99,1,42,0,1,2,1,1500,10740,11840,9200,12880,10770,0
429,刀锋战士,3,1,140,7160,0,1850,2400,2030,1990,1960,4160,5390,4560,4480,4400,70,1,122,0,1,4,1,90,4660,5890,5060,4980,4900,1
430,吸血鬼猎人 刀锋战士,4,1,209,15320,0,2770,3590,3040,2980,2940,6470,8390,7090,6960,6850,99,1,122,0,3,4,1,1000,8032,10235,8744,8596,8467,1
431,孙悟空,3,1,143,8410,0,2310,2640,2180,2180,2710,5250,5990,4960,4950,6160,70,3,18,0,1,4,1,90,5750,6490,5460,5450,6660,0
432,齐天大圣 孙悟空,4,1,212,17480,0,3360,3830,3180,3170,3940,8400,9580,7940,7920,9860,99,3,18,0,3,4,1,1000,10213,11563,9686,9664,11882,0
433,蜘蛛精,3,1,139,6410,0,1970,1760,1620,1940,1870,4430,3970,3640,4370,4210,70,1,54,0,1,4,1,90,4930,4470,4140,4870,4710,0
434,盘丝洞主 蜘蛛精,4,1,207,13760,0,2950,2650,2430,2920,2810,6890,6170,5660,6800,6550,99,1,54,0,3,4,1,1000,8514,7688,7102,8410,8123,0
435,艾倫,3,1,141,7340,0,1940,2400,1760,1920,2460,4370,5400,3960,4320,5530,70,1,118,0,1,4,1,90,4870,5900,4460,4820,6030,1
436,進擊的巨人 艾倫,4,1,210,15710,0,3020,3600,2640,2880,3570,7050,8400,6160,6720,8330,99,1,118,0,3,4,1,1000,8660,10247,7676,8318,10207,1
437,德古拉伯爵,3,1,143,8370,0,2300,2580,2210,2690,2180,5230,5860,5020,6110,4960,70,3,119,0,1,4,1,90,5730,6360,5520,6610,5460,0
438,吸血僵尸 德古拉伯爵,4,1,212,17390,0,3340,3750,3210,3910,3180,8360,9380,8030,9780,7940,99,3,119,0,3,4,1,1000,10168,11333,9789,11790,9686,0
439,Hatsume,2,1,92,2320,0,870,990,880,860,1040,2170,2470,2210,2150,2600,40,2,31,0,1,4,0,45,2670,2970,2710,2650,3100,0
440,Hatsume the Mesmerizing,3,1,139,6500,0,1740,1970,1770,1720,2080,3910,4440,3980,3860,4680,70,1,31,0,3,4,1,90,5014,5613,5093,4960,5883,0
441,Kotaro,2,1,92,2380,0,910,1000,870,900,1070,2270,2510,2180,2240,2680,40,2,46,0,1,4,0,45,2770,3010,2680,2740,3180,0
442,Kotaro Master Ninja,3,1,138,6000,0,1640,1810,1570,1620,1930,3640,4010,3490,3590,4290,70,2,46,0,3,4,1,90,4767,5192,4597,4710,5512,0
443,Zeku,3,1,141,7590,0,1980,2430,2100,1980,2350,4460,5470,4730,4460,5300,70,1,130,0,1,4,1,90,4960,5970,5230,4960,5800,0
444,Managarmr,3,1,142,7920,1,2180,2190,2380,2490,2080,4950,4970,5400,5670,4730,70,3,108,0,1,4,1,90,5450,5470,5900,6170,5230,0
445,Managarmr Frost Touch,4,1,211,16460,1,3170,3180,3460,3630,3020,7920,7950,8640,9070,7560,99,3,108,0,3,4,1,1000,9664,9698,10487,10979,9253,0
446,Ainos Scaldhammer,2,1,92,2410,0,840,990,980,1100,910,2090,2480,2450,2750,2280,40,2,40,0,1,4,0,45,2590,2980,2950,3250,2780,0
447,Ainos Blazehammer,3,1,138,6080,0,1510,1780,1770,1980,1640,3350,3960,3920,4390,3650,70,2,40,0,3,4,1,90,4436,5136,5089,5628,4780,0
448,霹雳火,3,1,139,6480,0,1780,1930,1680,2100,1760,4000,4340,3790,4710,3970,70,1,129,0,1,4,1,90,4500,4840,4290,5210,4470,1
449,火之狂魔 霹雳火,4,1,207,13880,0,2670,2890,2530,3140,2650,6230,6750,5900,7330,6170,99,1,129,0,3,4,1,1000,7755,8353,7377,9018,7688,1
450,Snow Queen,5,1,214,19270,0,3780,3760,3740,4100,3890,10400,10340,10300,11290,10690,99,1,128,0,1,2,1,1500,10900,10840,10800,11790,11190,0
451,紧那罗,3,1,140,7150,0,1970,1900,1920,2260,2160,4440,4280,4320,5080,4860,70,1,120,0,1,4,1,90,4940,4780,4820,5580,5360,0
452,独角疑神 紧那罗,4,1,209,15310,0,2960,2850,2880,3380,3240,6910,6650,6720,7900,7560,99,1,120,0,3,4,1,1000,8536,8240,8318,9674,9283,0
453,阿耆尼,3,1,141,7470,0,2020,2120,1750,2700,2080,4550,4770,3940,6080,4680,70,1,47,0,1,4,1,90,5050,5270,4440,6580,5180,1
454,火焰之神 阿耆尼,4,1,210,16020,0,3040,3180,2630,4050,3120,7080,7420,6140,9450,7280,99,1,47,0,3,4,1,1000,8732,9122,7651,11454,8962,1
455,弗兰肯斯坦,3,1,141,7270,0,2170,2340,2200,1800,1870,4890,5270,4950,4050,4200,70,1,121,0,1,4,1,90,5390,5770,5450,4550,4700,1
456,活跳尸 弗兰肯斯坦,4,1,210,15570,0,3260,3510,3300,2700,2800,7600,8190,7700,6300,6540,99,1,121,0,3,4,1,1000,9330,10007,9444,7837,8111,1
457,Belavus,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0,0,1,1,0,0,500,500,500,500,500,0
458,Wledic Guardsman,3,1,140,7120,0,2100,1800,2930,1640,1700,4730,4060,6580,3690,3830,70,1,61,0,1,4,1,90,5230,4560,7080,4190,4330,0
459,Wledic Guard Captain,4,1,209,15260,0,3150,2710,4390,2460,2550,7350,6310,10240,5740,5950,99,1,61,0,3,4,1,1000,9043,7849,12359,7194,7436,0
460,Sulima Guardsman,3,1,143,8260,0,2490,2520,2250,2270,2270,5610,5670,5060,5110,5100,70,1,17,0,1,4,1,90,6110,6170,5560,5610,5600,0
461,Sulima Executioner,4,1,212,17710,0,3740,3780,3380,3410,3400,8720,8830,7880,7950,7930,99,1,17,0,3,4,1,1000,10615,10739,9649,9730,9708,0
462,Shackled White Wyrm,5,1,216,20670,0,5430,3450,5060,3390,3340,14300,9080,13310,8910,8800,99,2,63,0,1,1,1,1500,14800,9580,13810,9410,9300,0
463,Andorra the Warrior,3,1,143,8320,0,2320,2530,2510,2240,2280,5220,5690,5640,5040,5130,70,1,142,0,1,4,1,90,5720,6190,6140,5540,5630,0
464,Andorra the Indomitable,4,1,213,17820,0,3480,3800,3760,3360,3420,8120,8860,8780,7840,7980,99,1,142,0,3,4,1,1000,9925,10774,10682,9604,9765,0
465,Heinrich the Bold,5,1,215,19710,0,4570,3740,4080,3560,3760,12570,10300,11220,9800,10350,99,1,133,0,1,2,1,1500,13070,10800,11720,10300,10850,0
466,BeowulfHwaet,3,1,139,6730,1,1810,2200,2030,1740,1840,4080,4950,4570,3920,4140,70,1,45,0,1,4,1,90,4580,5450,5070,4420,4640,0
467,Beowulf Dragonslayer,4,1,208,14440,0,2720,3300,3050,2610,2760,6350,7700,7120,6100,6440,99,1,45,0,3,4,1,1000,7894,9444,8776,7606,7997,0
468,Grendel,3,1,143,8300,0,2340,2570,2210,2690,2040,5260,5790,4960,6060,4580,70,1,95,0,1,4,1,90,5760,6290,5460,6560,5080,0
469,Grendel the Cruel,4,1,212,17770,0,3510,3860,3310,4040,3050,8190,9010,7720,9420,7120,99,1,95,0,3,4,1,1000,10005,10947,9466,11419,8779,0
470,Flame Dragon,5,1,214,19330,0,3930,3890,3690,4080,3740,10810,10690,10160,11230,10300,99,1,23,0,1,2,1,1500,11310,11190,10660,11730,10800,0
471,Master Zeku,4,1,211,16280,0,2970,3650,3150,2980,3530,6930,8510,7350,6940,8240,99,1,130,0,3,4,1,1000,8561,10373,9043,8571,10064,0
472,孟婆,3,1,141,7550,0,2200,1920,2300,2260,2100,4950,4320,5180,5080,4730,70,1,16,0,1,4,1,90,5450,4820,5680,5580,5230,0
473,黄泉摆渡人 孟婆,4,1,210,16170,0,3300,2880,3460,3380,3150,7700,6720,8060,7900,7350,99,1,16,0,3,4,1,1000,9444,8318,9857,9674,9043,0
474,Zuniga Guard Captain,5,1,214,19360,0,3480,4080,3840,4000,3960,9570,11220,10560,10990,10890,99,1,132,0,1,2,1,1500,10070,11720,11060,11490,11390,0
475,穆特,3,1,142,7900,0,1850,2780,2100,2080,2480,4170,6270,4720,4680,5570,70,1,118,0,1,4,1,90,4670,6770,5220,5180,6070,1
476,战争女神 穆特,4,1,211,16940,0,2780,4180,3150,3120,3710,6490,9750,7350,7280,8660,99,1,118,0,3,4,1,1000,8054,11797,9040,8962,10546,1
477,玛丽,3,1,140,7180,0,2000,2160,1730,2390,1970,4500,4860,3890,5390,4440,70,1,127,0,1,4,1,90,5000,5360,4390,5890,4940,1
478,血腥 玛丽,4,1,209,15380,0,3000,3240,2590,3590,2960,7000,7560,6050,8380,6900,99,1,127,0,3,4,1,1000,8640,9283,7550,10225,8526,1
479,雷兽,3,1,142,7910,0,1890,2460,2180,2570,2200,4250,5530,4900,5790,4950,70,1,114,0,1,4,1,90,4750,6030,5400,6290,5450,1
480,雷电尾兽 雷兽,4,1,211,16960,0,2840,3690,3270,3860,3300,6620,8600,7620,9010,7690,99,1,114,0,3,4,1,1000,8203,10477,9352,10947,9434,1
481,Cu Sith Watchhound,3,1,139,6770,0,1820,2090,1620,2270,1870,4100,4700,3650,5100,4200,70,1,83,0,1,4,0,90,4600,5200,4150,5600,4700,0
482,Cu Sith Magehound,4,1,208,14490,0,2730,3130,2430,3400,2800,6380,7310,5670,7940,6530,99,1,83,0,3,4,0,1000,7928,8996,7115,9718,8101,0
483,阿尔忒弥斯,3,1,141,7470,0,2020,2380,2040,1960,2270,4540,5350,4580,4410,5100,70,1,126,0,1,4,1,90,5040,5850,5080,4910,5600,1
484,月神 阿尔忒弥斯,4,1,210,15970,0,3020,3560,3050,2940,3400,7060,8320,7120,6860,7930,99,1,126,0,3,4,1,1000,8709,10156,8779,8479,9708,1
485,提婆,3,1,143,8390,0,2530,2640,2150,2430,2230,5750,6000,4880,5520,5080,70,3,134,0,1,4,1,90,6250,6500,5380,6020,5580,0
486,天神 提婆,4,1,212,17420,0,3680,3840,3120,3530,3250,9200,9600,7810,8830,8130,99,3,134,0,3,4,1,1000,11128,11585,9538,10704,9904,0
487,斯芬克斯,3,1,141,7410,0,2270,2030,2640,1750,1890,5100,4560,5940,3930,4250,70,1,125,0,1,4,1,90,5600,5060,6440,4430,4750,0
488,沙漠死神 斯芬克斯,4,1,210,15860,0,3400,3040,3960,2620,2840,7930,7100,9240,6120,6620,99,1,125,0,3,4,1,1000,9708,8754,11211,7629,8203,0
489,地藏王,3,1,142,7900,0,2260,2320,2300,2420,1980,5090,5220,5180,5450,4460,70,1,3,0,1,4,1,90,5590,5720,5680,5950,4960,1
490,幽冥教主 地藏王,4,1,211,16940,0,3390,3480,3460,3640,2970,7910,8120,8060,8480,6930,99,1,3,0,3,4,1,1000,9686,9925,9857,10339,8561,1
491,Santa Flesh-Eater,3,1,141,7550,0,2010,1950,2400,1940,2480,4530,4390,5400,4370,5580,70,1,10,0,1,4,1,90,5030,4890,5900,4870,6080,0
492,Santa Bringer of Death,4,1,210,16190,0,3020,2930,3600,2920,3720,7050,6830,8400,6800,8680,99,1,10,0,3,4,1,1000,8697,8445,10247,8410,10569,0
493,Empusa Nightmare,3,1,140,7120,1,1930,2270,1600,2350,2020,4350,5100,3600,5300,4550,70,1,117,0,1,4,1,90,4850,5600,4100,5800,5050,0
494,Empusa the Alluring,4,1,209,15260,0,2900,3400,2400,3530,3030,6770,7940,5590,8240,7070,99,1,117,0,3,4,1,1000,8376,9718,7023,10064,8722,0
495,Bat Demon,3,1,143,8300,0,2320,2640,2340,2200,2350,5220,5940,5270,4950,5300,70,1,131,0,1,4,1,90,5720,6440,5770,5450,5800,0
496,Fiendish Bat Demon,4,1,212,17780,0,3480,3960,3510,3300,3530,8120,9240,8190,7700,8240,99,1,131,0,3,4,1,1000,9925,11211,10007,9444,10064,0
497,Zagan,5,1,215,19730,0,4360,4590,3960,3320,3500,11980,12610,10890,9130,9620,99,1,143,0,1,2,1,1500,12480,13110,11390,9630,10120,0
498,Rosalba,2,1,92,2350,1,900,940,870,900,1080,2250,2350,2180,2260,2700,40,2,70,0,1,4,0,45,2750,2850,2680,2760,3200,0
499,White Rosalba,3,1,137,5920,0,1620,1690,1570,1630,1940,3600,3760,3480,3620,4320,70,2,70,0,3,4,1,90,4723,4906,4587,4745,5546,0
500,Roterose,2,1,92,2400,1,910,1110,1000,910,870,2280,2770,2510,2280,2170,40,2,46,0,1,4,0,45,2780,3270,3010,2780,2670,0
501,Crimson Roterose,3,1,138,6050,0,1640,2000,1800,1640,1560,3640,4440,4010,3650,3470,70,2,46,0,3,4,1,90,4770,5682,5192,4780,4574,0
502,赫拉克勒斯,3,1,143,8410,0,2350,2720,2570,2160,2210,5350,6180,5840,4920,5020,70,3,124,0,1,4,1,90,5850,6680,6340,5420,5520,0
503,狂战士 赫拉克勒斯,4,1,212,17480,0,3420,3960,3740,3150,3210,8560,9890,9340,7870,8030,99,3,124,0,3,4,1,1000,10396,11917,11288,9606,9789,0
504,Oniroku the Unhinged,3,1,143,8290,1,2250,2550,2260,2250,2530,5070,5740,5090,5060,5690,70,1,115,0,1,4,1,90,5570,6240,5590,5560,6190,0
505,Oniroku the Slayer,4,1,212,17780,1,3380,3830,3390,3380,3800,7890,8930,7910,7880,8860,99,1,115,0,3,4,1,1000,9661,10855,9686,9649,10774,0
506,Osame Priestess,2,1,92,2430,0,910,1070,920,890,1070,2270,2660,2310,2220,2670,40,2,70,0,1,4,0,45,2770,3160,2810,2720,3170,0
507,Osame the Pure,3,1,138,6110,0,1630,1920,1660,1600,1920,3630,4260,3700,3560,4270,70,2,70,0,3,4,1,90,4757,5477,4836,4675,5489,0
508,Izuna the Wanderer,3,1,139,6620,0,1840,2100,1790,1750,1980,4130,4720,4030,3940,4460,70,1,45,0,1,4,1,90,4630,5220,4530,4440,4960,0
509,Izuna the Beguiling Fox,4,1,208,14180,0,2750,3150,2680,2630,2970,6430,7350,6260,6130,6930,99,1,45,0,3,4,1,1000,7985,9040,7792,7641,8561,0
510,Kagemaru Master Ninja,5,1,215,19700,0,3850,4590,3740,3600,3920,10590,12630,10300,9900,10780,99,1,137,0,1,2,1,1500,11090,13130,10800,10400,11280,0
511,瓦尔基里,3,1,141,7530,0,1920,2180,2160,2500,2000,4320,4900,4860,5620,4500,70,1,85,0,1,4,1,90,4820,5400,5360,6120,5000,0
512,女武神 瓦尔基里,4,1,210,16120,0,2880,3260,3240,3740,3000,6720,7620,7560,8740,7000,99,1,85,0,3,4,1,1000,8318,9352,9283,10637,8640,0
513,灯神,3,1,140,7130,0,1910,2240,2180,1920,1940,4300,5040,4910,4320,4370,70,1,48,0,1,4,1,90,4800,5540,5410,4820,4870,1
514,愿望之神 灯神,4,1,209,15310,0,2870,3360,3280,2880,2920,6690,7840,7640,6720,6800,99,1,48,0,3,4,1,1000,8284,9604,9374,8318,8410,1
515,Wolfman Savage,2,1,92,2380,0,890,1070,940,930,920,2230,2670,2350,2330,2310,40,2,52,0,1,4,0,45,2730,3170,2850,2830,2810,0
516,Wolfman Warrior,3,1,138,5990,0,1600,1920,1690,1680,1660,3560,4280,3760,3730,3690,70,2,52,0,3,4,1,90,4678,5499,4906,4871,4826,0
517,Lamia Spearguard,2,1,92,2360,0,910,1030,860,960,960,2280,2590,2150,2410,2390,40,2,28,0,1,4,0,45,2780,3090,2650,2910,2890,0
518,Lamia Mageguard,3,1,138,5950,0,1640,1860,1550,1730,1720,3650,4140,3440,3850,3830,70,2,28,0,3,4,1,90,4780,5341,4540,5009,4985,0
519,Living Sword,1,1,34,500,0,500,1020,240,240,510,1990,4080,960,960,2030,30,2,188,0,1,2,0,9,2490,4580,1460,1460,2530,0
520,Living Shield,1,1,34,520,0,600,590,840,360,200,2400,2360,3360,1440,800,30,2,154,0,1,2,0,9,2900,2860,3860,1940,1300,0
521,Living Armor,2,1,92,2440,0,980,1210,1680,600,400,2450,3020,4200,1500,1000,40,2,166,0,1,2,0,45,2950,3520,4700,2000,1500,0
522,"Gardin, Caterpillar Whisperer",2,1,92,2370,0,920,1060,720,1110,930,2300,2640,1800,2760,2330,40,2,139,0,1,2,0,45,2800,3140,2300,3260,2830,0
523,"Gilbert, Moth Handler",4,1,213,18200,0,3290,3850,3180,4010,3870,7670,8980,7420,9350,9030,99,1,148,0,1,2,1,1000,8170,9480,7920,9850,9530,0
524,Mushussu,2,1,92,2370,0,880,1110,720,1130,890,2200,2780,1810,2820,2220,40,2,23,0,1,4,0,45,2700,3280,2310,3320,2720,0
525,Mushussu the Fierce,3,1,138,5960,0,1590,2000,1300,2030,1600,3520,4450,2890,4510,3550,70,2,23,0,3,4,1,90,4631,5695,3911,5763,4665,0
526,Melusine,3,1,141,7570,0,2100,2210,1920,2520,2060,4730,4970,4320,5670,4640,70,1,155,0,1,4,1,90,5230,5470,4820,6170,5140,0
527,Melusine the Witch,4,1,210,16210,0,3150,3310,2880,3780,3090,7350,7730,6720,8820,7210,99,1,155,0,3,4,1,1000,9043,9478,8318,10729,8882,0
528,Pabilsag,3,1,141,7560,0,1900,2280,1790,2690,2140,4280,5130,4030,6050,4820,70,1,25,0,1,4,1,90,4780,5630,4530,6550,5320,0
529,Pabilsag Venomclaw,4,1,210,16200,0,2850,3420,2690,4030,3210,6650,7980,6270,9410,7490,99,1,25,0,3,4,1,1000,8240,9765,7802,11407,9203,0
530,King Argan,4,1,212,17210,1,3750,3600,2880,4280,2700,8750,8400,6720,10000,6300,99,1,42,0,1,1,1,1000,9250,8900,7220,10500,6800,0
533,Golad the Mighty,4,1,213,17940,0,4620,3990,3690,2960,2680,10730,9270,8570,6860,6220,99,2,152,0,1,2,1,1000,11230,9770,9070,7360,6720,0
534,Sevia the Keen,4,1,213,17910,0,3460,3510,3030,4210,3700,8040,8150,7040,9780,8580,99,2,117,0,1,2,1,1000,8540,8650,7540,10280,9080,0
535,Norda the Fleet,4,1,210,16200,1,3070,3560,2520,3600,3450,7160,8320,5880,8400,8050,99,1,144,0,1,2,1,1000,7660,8820,6380,8900,8550,0
536,鐵娘 三笠,4,1,210,16080,1,3360,3600,3310,2810,3000,7840,8400,7730,6550,7000,99,1,9999,0,1,2,1,1000,8340,8900,8230,7050,7500,1
537,Humbaba,3,1,141,7420,0,2200,2880,1580,1920,2020,4950,6480,3560,4320,4550,70,1,45,0,1,4,1,90,5450,6980,4060,4820,5050,0
538,"Humbaba, Wood Ward",4,1,210,15900,0,3300,4320,2370,2880,3030,7700,10080,5530,6720,7080,99,1,45,0,3,4,1,1000,9444,12176,6954,8318,8732,0
539,Nuckelavee,3,1,141,7390,0,1970,1970,1610,2400,2600,4430,4430,3630,5400,5850,70,1,149,0,1,4,1,90,4930,4930,4130,5900,6350,0
540,Nuckelavee Plaguebringer,4,1,210,15820,0,2950,2950,2420,3600,3900,6890,6890,5650,8400,9100,99,1,149,0,3,4,1,1000,8514,8514,7090,10247,11051,0
541,"Coppelius, Doll Keeper",2,1,93,2570,0,1000,1200,820,1170,950,2510,2990,2040,2930,2380,40,2,147,0,1,4,0,45,3010,3490,2540,3430,2880,0
542,"Coppelius, Puppeteer",3,1,139,6480,0,1810,2150,1470,2110,1720,4010,4790,3270,4680,3820,70,2,147,0,3,4,1,90,5192,6083,4344,5959,4973,0
543,Elven Marksman,2,1,92,2310,0,910,1080,700,1070,860,2270,2700,1740,2690,2150,40,2,126,0,1,4,0,45,2770,3200,2240,3190,2650,0
544,Elven Spellmark,3,1,137,5810,0,1630,1940,1250,1930,1550,3630,4310,2780,4300,3430,70,2,126,0,3,4,1,90,4757,5536,3785,5524,4530,0
545,Elven Mercenary,1,1,34,460,0,450,540,360,510,460,1790,2150,1430,2050,1840,30,2,31,0,1,4,0,9,2290,2650,1930,2550,2340,0
546,Elven High Mercenary,2,1,92,2320,0,890,1080,720,1030,920,2240,2690,1790,2570,2300,40,2,31,0,3,4,0,45,3257,3790,2724,3647,3328,0
547,"Gangaruda, Potamus Rider",3,1,143,8610,0,2640,2650,2520,2210,2280,5940,5970,5670,4980,5140,70,1,122,0,1,4,1,90,6440,6470,6170,5480,5640,0
548,Gangaruda the Destroyer,4,1,213,18460,0,3960,3980,3780,3320,3420,9240,9280,8820,7750,7990,99,1,122,0,3,4,1,1000,11211,11258,10729,9501,9777,0
549,"Galagos, Giant Ape",3,1,147,11370,0,3033,3618,3276,2727,3582,3370,4020,3640,3030,3980,70,2,121,0,1,4,1,90,3870,4520,4140,3530,4480,0
550,"Galagos, Dino Hunter",4,1,221,26370,0,4923,5886,5319,4428,5814,5470,6540,5910,4920,6460,99,2,121,0,3,4,1,1000,6850,8069,7352,6222,7981,0
551,"Grandor, Giant of Old",5,1,215,19760,0,3960,4680,4250,3690,3180,10890,12870,11680,10160,8730,99,1,149,0,1,2,1,1500,11390,13370,12180,10660,9230,0
552,"Lindworm, Thorn Dragon",3,1,143,8530,1,2490,3020,2540,2630,1510,5590,6790,5720,5910,3400,70,1,13,0,1,4,1,90,6090,7290,6220,6410,3900,0
553,"Lindworm, the Black Rose",4,1,213,17860,1,3730,3480,3430,3940,3280,8700,8120,8000,9200,7640,99,1,13,0,3,4,1,1000,10591,10287,9920,11164,9027,0
554,"Jire, Sylvan Hunter",3,1,140,6820,0,2050,2150,1570,2280,1690,4610,4840,3520,5120,3800,70,1,188,0,1,4,0,90,5110,5340,4020,5620,4300,0
555,Jire the Rapturous,4,1,208,14590,0,3070,3230,2350,3410,2530,7170,7530,5480,7970,5910,99,1,188,0,3,4,0,1000,8835,9248,6894,9752,7389,0
556,"Wynde, Spellblade",3,1,139,6660,0,1790,2160,1920,1690,1960,4040,4860,4320,3810,4410,70,1,139,0,1,4,1,90,4540,5360,4820,4310,4910,0
557,"Wynde, Dragonslayer",4,1,208,14290,0,2690,3240,2880,2540,2940,6280,7550,6720,5920,6870,99,1,139,0,3,4,1,1000,7814,9273,8318,7401,8489,0
558,Magdal Dragonheart,5,1,215,19740,0,3740,4070,4080,3710,4140,10290,11200,11220,10200,11390,99,1,120,0,1,2,1,1500,10790,11700,11720,10700,11890,1
559,达摩,3,1,139,6700,0,1820,2030,2200,1680,1840,4090,4570,4960,3790,4130,70,1,133,0,1,4,0,90,4590,5070,5460,4290,4630,0
560,禅师 达摩,4,1,208,14360,0,2730,3050,3300,2530,2750,6370,7110,7710,5900,6430,99,1,133,0,3,4,0,1000,7916,8766,9456,7377,7985,0
561,Glaistig,2,1,92,2430,0,930,1040,930,1090,870,2330,2590,2320,2710,2170,40,2,47,0,1,4,0,45,2830,3090,2820,3210,2670,0
562,Greenshade Glaistig,3,1,138,6110,0,1680,1870,1670,1950,1560,3740,4150,3720,4340,3470,70,2,47,0,3,4,1,90,4881,5351,4858,5568,4574,0
563,弗雷,3,1,141,7540,0,2050,2100,2400,2420,1800,4620,4730,5390,5440,4050,70,1,136,0,1,4,1,90,5120,5230,5890,5940,4550,0
564,正义使者 弗雷,4,1,210,16160,0,3080,3150,3600,3630,2700,7180,7360,8390,8470,6300,99,1,136,0,3,4,1,1000,8847,9053,10235,10326,7837,0
565,Sir Bedwyr of the Rose,3,1,142,7740,0,2260,2080,2260,2510,1940,5090,4680,5080,5640,4360,70,1,145,0,1,4,1,90,5590,5180,5580,6140,4860,0
